artistThreshold, trackThreshold, correctRate, determinedPercent
50,50,0.9785714285714285,0.28
50,55,0.9788732394366197,0.28400000000000003
50,60,0.9815384615384616,0.32499999999999996
50,65,0.9818731117824774,0.33099999999999996
50,70,0.9833333333333333,0.36
50,75,0.9841269841269841,0.378
50,80,0.9842931937172775,0.382
50,85,0.9843342036553525,0.383
50,90,0.984375,0.384
50,95,0.9844559585492227,0.386
50,100,0.9824561403508771,0.399
55,50,0.9786476868327402,0.281
55,55,0.9789473684210527,0.28500000000000003
55,60,0.9815950920245399,0.32599999999999996
55,65,0.9819277108433735,0.33199999999999996
55,70,0.9833795013850416,0.361
55,75,0.9841688654353562,0.379
55,80,0.9843342036553525,0.383
55,85,0.984375,0.384
55,90,0.9844155844155844,0.385
55,95,0.9844961240310077,0.387
55,100,0.9825,0.4
60,50,0.9800664451827242,0.30100000000000005
60,55,0.980327868852459,0.30500000000000005
60,60,0.9830028328611898,0.353
60,65,0.9834254143646409,0.362
60,70,0.9846547314578005,0.391
60,75,0.9854368932038835,0.41200000000000003
60,80,0.9856459330143541,0.41800000000000004
60,85,0.9857142857142858,0.42000000000000004
60,90,0.985781990521327,0.42200000000000004
60,95,0.9858490566037735,0.42400000000000004
60,100,0.9840182648401826,0.43799999999999994
65,50,0.9801980198019802,0.30300000000000005
65,55,0.9804560260586319,0.30700000000000005
65,60,0.9830985915492958,0.355
65,65,0.9835164835164835,0.364
65,70,0.9847328244274809,0.393
65,75,0.9855072463768116,0.41400000000000003
65,80,0.9857142857142858,0.42000000000000004
65,85,0.985781990521327,0.42200000000000004
65,90,0.9858490566037735,0.42400000000000004
65,95,0.9859154929577465,0.42600000000000005
65,100,0.9840909090909091,0.43999999999999995
70,50,0.9838274932614556,0.371
70,55,0.9840848806366048,0.377
70,60,0.9863325740318907,0.43899999999999995
70,65,0.9866369710467706,0.44899999999999995
70,70,0.9879759519038076,0.499
70,75,0.9886148007590133,0.527
70,80,0.9887429643527205,0.5329999999999999
70,85,0.9887850467289719,0.5349999999999999
70,90,0.9888268156424581,0.5369999999999999
70,95,0.9888682745825603,0.5389999999999999
70,100,0.9855855855855856,0.5549999999999999
75,50,0.9852216748768473,0.406
75,55,0.9854721549636803,0.41300000000000003
75,60,0.9854771784232366,0.482
75,65,0.9858585858585859,0.495
75,70,0.9872262773722628,0.548
75,75,0.9879725085910653,0.5820000000000001
75,80,0.9881154499151104,0.589
75,85,0.9881956155143339,0.593
75,90,0.988255033557047,0.596
75,95,0.988313856427379,0.599
75,100,0.9853658536585366,0.615
80,50,0.9862068965517241,0.43500000000000005
80,55,0.9864253393665159,0.44199999999999995
80,60,0.9863813229571985,0.514
80,65,0.9868173258003766,0.531
80,70,0.9881154499151104,0.589
80,75,0.9889064976228209,0.631
80,80,0.9893778452200304,0.659
80,85,0.9894419306184012,0.663
80,90,0.9894894894894894,0.6659999999999999
80,95,0.9895366218236173,0.669
80,100,0.9868804664723032,0.6859999999999999
85,50,0.9867256637168141,0.45199999999999996
85,55,0.9869281045751634,0.45899999999999996
85,60,0.9869888475836431,0.538
85,65,0.9873873873873874,0.5549999999999999
85,70,0.9886178861788618,0.615
85,75,0.989345509893455,0.657
85,80,0.9897810218978103,0.685
85,85,0.98989898989899,0.6930000000000001
85,90,0.9899425287356322,0.696
85,95,0.9899856938483548,0.6990000000000001
85,100,0.9874651810584958,0.718
90,50,0.9868131868131869,0.45499999999999996
90,55,0.987012987012987,0.46199999999999997
90,60,0.9871323529411765,0.544
90,65,0.9875444839857651,0.562
90,70,0.9887820512820513,0.624
90,75,0.9895209580838323,0.6679999999999999
90,80,0.9856938483547926,0.6990000000000001
90,85,0.9858557284299858,0.7070000000000001
90,90,0.9859154929577465,0.71
90,95,0.9859747545582047,0.7130000000000001
90,100,0.9836065573770492,0.732
95,50,0.987012987012987,0.46199999999999997
95,55,0.9872340425531915,0.47
95,60,0.9873417721518988,0.5529999999999999
95,65,0.9877408056042032,0.571
95,70,0.9889415481832543,0.633
95,75,0.9896907216494846,0.679
95,80,0.9859154929577465,0.71
95,85,0.9860724233983287,0.718
95,90,0.986130374479889,0.721
95,95,0.9862068965517241,0.725
95,100,0.9812332439678284,0.746
100,50,0.9891135303265941,0.643
100,55,0.9864253393665159,0.663
100,60,0.9869791666666666,0.768
100,65,0.9824341279799247,0.7969999999999999
100,70,0.9838895281933256,0.869
100,75,0.9847161572052402,0.916
100,80,0.9820675105485233,0.948
100,85,0.9811912225705329,0.957
100,90,0.9731404958677686,0.968
100,95,0.9683026584867076,0.978
100,100,0.964,1.0
