index,artistScore,trackScore
1000.0,75.0,67.0
1001.0,60.0,75.0
1002.0,75.0,62.0
1003.0,67.0,50.0
1004.0,100.0,50.0
1005.0,100.0,20.0
1006.0,60.0,67.0
1007.0,100.0,100.0
1008.0,100.0,94.0
1009.0,89.0,86.0
1010.0,0.0,0.0
1011.0,100.0,67.0
1012.0,0.0,0.0
1013.0,89.0,71.0
1014.0,100.0,56.0
1015.0,100.0,56.0
1016.0,67.0,75.0
1017.0,100.0,100.0
1018.0,100.0,67.0
1019.0,100.0,67.0
1020.0,0.0,0.0
1021.0,0.0,0.0
1022.0,0.0,0.0
1023.0,100.0,50.0
1024.0,80.0,75.0
1025.0,100.0,60.0
1026.0,100.0,43.0
1027.0,100.0,75.0
1028.0,100.0,67.0
1029.0,100.0,67.0
1030.0,100.0,67.0
1031.0,100.0,67.0
1032.0,100.0,50.0
1033.0,100.0,57.0
1034.0,100.0,44.0
1035.0,80.0,67.0
1036.0,80.0,67.0
1037.0,100.0,100.0
1038.0,75.0,67.0
1039.0,75.0,67.0
1040.0,75.0,67.0
1041.0,75.0,67.0
1042.0,67.0,60.0
1043.0,75.0,50.0
1044.0,75.0,59.0
1045.0,80.0,43.0
1046.0,75.0,56.0
1047.0,100.0,100.0
1048.0,100.0,97.0
1049.0,100.0,97.0
1050.0,100.0,97.0
1051.0,100.0,97.0
1052.0,100.0,33.0
1053.0,100.0,67.0
1054.0,100.0,67.0
1055.0,100.0,50.0
1056.0,0.0,0.0
1057.0,0.0,0.0
1058.0,80.0,75.0
1059.0,100.0,56.0
1060.0,100.0,38.0
1061.0,100.0,50.0
1062.0,75.0,67.0
1063.0,80.0,60.0
1064.0,80.0,60.0
1065.0,80.0,57.0
1066.0,80.0,57.0
1067.0,100.0,100.0
1068.0,100.0,36.0
1069.0,100.0,100.0
1070.0,100.0,100.0
1071.0,34.0,41.0
1072.0,100.0,100.0
1073.0,100.0,100.0
1074.0,37.0,41.0
1075.0,66.0,100.0
1076.0,100.0,33.0
1077.0,100.0,100.0
1078.0,100.0,100.0
1079.0,100.0,100.0
1080.0,100.0,100.0
1081.0,100.0,92.0
1082.0,100.0,33.0
1083.0,34.0,41.0
1084.0,100.0,36.0
1085.0,100.0,36.0
1086.0,100.0,100.0
1087.0,100.0,92.0
1088.0,100.0,100.0
1089.0,100.0,100.0
1090.0,100.0,100.0
1091.0,100.0,100.0
1092.0,69.0,100.0
1093.0,69.0,100.0
1094.0,100.0,100.0
1095.0,100.0,100.0
1096.0,100.0,43.0
1097.0,100.0,100.0
1098.0,32.0,41.0
1099.0,34.0,41.0
1100.0,66.0,100.0
1101.0,100.0,36.0
1102.0,100.0,29.0
1103.0,66.0,41.0
1104.0,45.0,32.0
1105.0,100.0,100.0
1106.0,63.0,100.0
1107.0,42.0,41.0
1108.0,100.0,100.0
1109.0,100.0,100.0
1110.0,100.0,33.0
1111.0,34.0,41.0
1112.0,100.0,100.0
1113.0,100.0,100.0
1114.0,100.0,100.0
1115.0,100.0,100.0
1116.0,100.0,100.0
1117.0,100.0,100.0
1118.0,100.0,100.0
1119.0,100.0,100.0
1120.0,100.0,100.0
1121.0,100.0,100.0
1122.0,100.0,86.0
1123.0,47.0,41.0
1124.0,100.0,100.0
1125.0,100.0,100.0
1126.0,42.0,41.0
1127.0,100.0,33.0
1128.0,100.0,100.0
1129.0,42.0,41.0
1130.0,100.0,83.0
1131.0,80.0,100.0
1132.0,100.0,75.0
1133.0,100.0,71.0
1134.0,0.0,0.0
1135.0,0.0,0.0
1136.0,100.0,64.0
1137.0,100.0,64.0
1138.0,80.0,75.0
1139.0,100.0,60.0
1140.0,100.0,100.0
1141.0,75.0,100.0
1142.0,86.0,75.0
1143.0,0.0,0.0
1144.0,100.0,60.0
1145.0,100.0,44.0
1146.0,100.0,50.0
1147.0,75.0,67.0
1148.0,75.0,67.0
1149.0,75.0,67.0
1150.0,0.0,0.0
1151.0,67.0,67.0
1152.0,67.0,67.0
1153.0,67.0,67.0
1154.0,67.0,67.0
1155.0,67.0,67.0
1156.0,67.0,67.0
1157.0,80.0,29.0
1158.0,67.0,60.0
1159.0,67.0,54.0
1160.0,100.0,67.0
1161.0,0.0,0.0
1162.0,0.0,0.0
1163.0,100.0,60.0
1164.0,100.0,57.0
1165.0,100.0,50.0
1166.0,100.0,50.0
1167.0,100.0,57.0
1168.0,83.0,67.0
1169.0,100.0,43.0
1170.0,0.0,0.0
1171.0,0.0,0.0
1172.0,100.0,64.0
1173.0,100.0,62.0
1174.0,100.0,52.0
1175.0,100.0,47.0
1176.0,80.0,67.0
1177.0,100.0,60.0
1178.0,100.0,42.0
1179.0,100.0,50.0
1180.0,100.0,100.0
1181.0,100.0,67.0
1182.0,0.0,0.0
1183.0,100.0,43.0
1184.0,0.0,0.0
1185.0,100.0,44.0
1186.0,67.0,67.0
1187.0,100.0,25.0
1188.0,100.0,50.0
1189.0,100.0,50.0
1190.0,0.0,0.0
1191.0,80.0,67.0
1192.0,100.0,50.0
1193.0,67.0,50.0
1194.0,75.0,33.0
1195.0,67.0,40.0
1196.0,80.0,50.0
1197.0,80.0,50.0
1198.0,67.0,44.0
1199.0,75.0,57.0
1200.0,100.0,100.0
1201.0,100.0,67.0
1202.0,100.0,60.0
1203.0,100.0,43.0
1204.0,100.0,57.0
1205.0,75.0,50.0
1206.0,100.0,55.0
1207.0,100.0,53.0
1208.0,88.0,60.0
1209.0,100.0,52.0
1210.0,100.0,100.0
1211.0,100.0,67.0
1212.0,100.0,50.0
1213.0,100.0,43.0
1214.0,100.0,43.0
1215.0,75.0,60.0
1216.0,88.0,55.0
1217.0,100.0,56.0
1218.0,85.0,64.0
1219.0,80.0,33.0
1220.0,100.0,23.0
1221.0,100.0,100.0
1222.0,100.0,100.0
1223.0,100.0,100.0
1224.0,100.0,80.0
1225.0,100.0,80.0
1226.0,100.0,75.0
1227.0,100.0,75.0
1228.0,100.0,75.0
1229.0,100.0,46.0
1230.0,67.0,50.0
1231.0,67.0,60.0
1232.0,75.0,67.0
1233.0,60.0,50.0
1234.0,75.0,67.0
1235.0,67.0,57.0
1236.0,67.0,60.0
1237.0,67.0,60.0
1238.0,67.0,60.0
1239.0,67.0,62.0
1240.0,60.0,100.0
1241.0,60.0,100.0
1242.0,60.0,100.0
1243.0,60.0,100.0
1244.0,100.0,71.0
1245.0,100.0,64.0
1246.0,80.0,80.0
1247.0,60.0,100.0
1248.0,100.0,59.0
1249.0,67.0,75.0
1250.0,83.0,100.0
1251.0,80.0,100.0
1252.0,80.0,100.0
1253.0,100.0,75.0
1254.0,100.0,67.0
1255.0,100.0,62.0
1256.0,100.0,40.0
1257.0,100.0,43.0
1258.0,75.0,75.0
1259.0,80.0,67.0
1260.0,100.0,60.0
1261.0,100.0,67.0
1262.0,100.0,67.0
1263.0,100.0,75.0
1264.0,0.0,0.0
1265.0,100.0,60.0
1266.0,100.0,60.0
1267.0,100.0,60.0
1268.0,100.0,33.0
